"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"BUILT_BY";"CAP";"COPYRIGHT";"CUI_PURCHASE_URL";"DATASHEETURL";"DCR";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PART_NUMBER_1";"DIGI-KEY_PART_NUMBER_2";"DIGI-KEY_PART_NUMBER_3";"ESR";"FREQUENCY";"HEIGHT";"IDC";"IDSMAX";"IMAX";"IRMS";"L";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MKTG_PACKAGE";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MOUSER_TESTING_PART_NUMBER";"MOUSER_TESTING_PRICE-STOCK";"MP";"NSID";"PACKAGE";"POPULARITY";"POWER";"PURCHASE-URL";"QGTYP";"QUANTITY";"RDSON45";"RDSONAT10V";"REFDES";"RESISTANCE";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SOURCELIBRARY";"SPICEPREFIX";"TOLERANCE";"TYPE";"VDC";"VDSMAX";"VENDOR";
"1";"300pF";"12V--LM3150_C0805C301J5GACTU";"12V--LM3150_0805:1";"C15";"";"";"";"";"3.0E10";"";"";"httpwww.kemet.comdocfinder?Partnumber%3DC0805C301J5GACTU";"";"";"";"";"";"";"0.0";"";"";"";"";"";"0.0";"";"Kemet";"C0805C301J5GACTU";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"50.0";"";"Kemet";
"1";"30V";"12V--LM3150_CSD17579Q5A:1";"12V--LM3150_TRANS_NEXFET_Q5A:1";"M1";"";"";"";"";"";"";"";"httpwww.ti.comlitdssymlinkCSD17579Q5A.pdf";"";"";"";"";"";"";"";"";"";"";"14.0A";"";"";"";"Texas Instruments";"CSD17579Q5A";"";"";"";"";"";"";"";"";"";"";"";"";"";"5.4nC";"1";"";"0.0084Ohm";"";"";"";"";"";"";"";"";"";"30.0V";"Texas Instruments";
"1";"30V";"5V-LM3150MH_CSD17579Q5A";"5V-LM3150MH_TRANS_NEXFET_Q5A";"M3";"";"";"";"";"";"";"";"httpwww.ti.comlitdssymlinkCSD17579Q5A.pdf";"";"";"";"";"";"";"";"";"";"";"14.0A";"";"";"";"Texas Instruments";"CSD17579Q5A";"";"";"";"";"";"";"";"";"";"";"";"";"";"5.4nC";"1";"";"0.0084Ohm";"";"";"";"";"";"";"";"";"";"30.0V";"Texas Instruments";
"1";"332k";"12V--LM3150_ERJ-6ENF3323V";"12V--LM3150_0805:1";"R2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"ERJ6ENF3323V";"";"";"";"";"";"";"";"";"";"";"";"0.125";"";"";"";"";"";"";"332000.0";"";"";"";"";"1.0";"";"";"";"Panasonic";
"1";"33k";"RCL_R-US_R0805";"RCL_R0805";"R11";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";"";"";"";
"1";"470nF";"12V--LM3150_ECPU1C474MA5:1";"12V--LM3150_1206:1";"C14";"";"";"";"";"4.7E7";"";"";"httpwww.panasonic.comindustrialcomponentspdfef038%5Fecpu%5Fdne.pdf";"";"";"";"";"";"";"0.0";"";"";"";"";"";"0.0";"";"Panasonic";"ECPU1C474MA5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"16.0";"";"Panasonic";
"1";"470nF";"5V-LM3150MH_ECPU1C474MA5";"5V-LM3150MH_1206";"C26";"";"";"";"";"4.7E7";"";"";"httpwww.panasonic.comindustrialcomponentspdfef038%5Fecpu%5Fdne.pdf";"";"";"";"";"";"";"0.0";"";"";"";"";"";"0.0";"";"Panasonic";"ECPU1C474MA5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"16.0";"";"Panasonic";
"2";"47nF";"RCL_C-EUC0603";"RCL_C0603";"C3, C30";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";
"1";"51.1k";"5V-LM3150MH_ERJ-6ENF5112V";"5V-LM3150MH_0805";"R7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"ERJ6ENF5112V";"";"";"";"";"";"";"";"";"";"";"";"0.125";"";"";"";"";"";"";"51100.0";"";"";"";"";"1.0";"";"";"";"Panasonic";
"1";"5K";"RCL_R-US_R0603";"RCL_R0603";"R22";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";"";"";"";
